Text,Bounding Box
D. Bains,"[[1325, 51], [1478, 51], [1478, 108], [1325, 108]]"
Quiz # 10,"[[212, 280], [398, 280], [398, 332], [212, 332]]"
5,"[[1478, 386], [1530, 386], [1530, 434], [1478, 434]]"
Table 5-1,"[[252, 451], [444, 451], [444, 506], [252, 506]]"
ler or mechanical,"[[940, 442], [1230, 442], [1230, 498], [940, 498]]"
Room,"[[1239, 437], [1323, 437], [1323, 475], [1239, 475]]"
other,"[[600, 466], [733, 466], [733, 547], [600, 547]]"
g with,"[[730, 446], [998, 446], [998, 550], [730, 550]]"
or,"[[995, 495], [1051, 495], [1051, 531], [995, 531]]"
Mechanical Room,"[[1044, 474], [1364, 474], [1364, 531], [1044, 531]]"
20,"[[492, 514], [546, 514], [546, 542], [492, 542]]"
2) What is the maximiim gas pressure inside an apartment building,"[[208, 506], [1424, 506], [1424, 581], [208, 581]]"
5-1,"[[1465, 527], [1507, 527], [1507, 571], [1465, 571]]"
Table,"[[399, 585], [463, 585], [463, 621], [399, 621]]"
control boiler or mechanical room,"[[665, 566], [1270, 566], [1270, 646], [665, 646]]"
5 PSI,"[[326, 616], [423, 616], [423, 669], [326, 669]]"
other than con,"[[447, 598], [743, 598], [743, 697], [447, 697]]"
boiler or mechanical room,"[[755, 611], [1310, 611], [1310, 686], [755, 686]]"
3) What is another term to describe a secondary pressure test?,"[[212, 697], [1330, 697], [1330, 754], [212, 754]]"
Dial,"[[255, 743], [352, 743], [352, 793], [255, 793]]"
Test,"[[361, 747], [435, 747], [435, 783], [361, 783]]"
or,"[[464, 752], [514, 752], [514, 780], [464, 780]]"
Monometer test,"[[542, 737], [769, 737], [769, 786], [542, 786]]"
or,"[[872, 754], [918, 754], [918, 780], [872, 780]]"
working pressure,"[[925, 730], [1219, 730], [1219, 796], [925, 796]]"
6,"[[567, 785], [605, 785], [605, 829], [567, 829]]"
3 b (Pink),"[[656, 774], [830, 774], [830, 826], [656, 826]]"
bbstt,"[[263, 862], [388, 862], [388, 917], [263, 917]]"
Ae,"[[507, 873], [571, 873], [571, 909], [507, 909]]"
(oauutes,"[[585, 865], [757, 865], [757, 905], [585, 905]]"
Code,"[[267, 905], [359, 905], [359, 943], [267, 943]]"
6.223b Pink,"[[462, 896], [694, 896], [694, 947], [462, 947]]"
.',"[[1180, 928], [1316, 928], [1316, 960], [1180, 960]]"
